participant_id,location,session_number,method,randomization_seed,selected_rank,option_id,cut_id,seal_id,title,subtitle,cut_image_url,seal_image_url,seal_color,screen_started_at,option_selected_at,purchase_confirmed_at,time_spent_before_choice_ms,time_spent_before_choice_seconds,time_taken_to_confirm_ms,time_taken_to_confirm_seconds,changed_preference_before_confirming,initial_selected_option_id,final_confirmed_option_id,gender,age_group,education_level,income_group,timestamp
PUCPR-1782234486787-S4230J,PUCPR,1,Choice experiment / Best-Worst Scaling ranking,PUCPR-1782234486787-S4230J-session-1,1,option-2,cut-2,red-2,Picanha bovina,Bem-estar animal,/images/cuts/13.png,/images/seals/pucpr/bea.png,red,2026-06-23T17:08:07.326Z,2026-06-23T17:08:08.693Z,2026-06-23T17:08:09.389Z,1367,1.367,696,0.696,No,option-2,option-2,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-06-23T17:08:19.237Z
PUCPR-1782234486787-S4230J,PUCPR,1,Choice experiment / Best-Worst Scaling ranking,PUCPR-1782234486787-S4230J-session-1,2,option-5,cut-5,green-3,Picanha bovina,Orgânica,/images/cuts/13.png,/images/seals/pucpr/o.png,red,2026-06-23T17:08:09.389Z,2026-06-23T17:08:10.034Z,2026-06-23T17:08:10.589Z,645,0.645,555,0.555,No,option-5,option-5,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-06-23T17:08:19.237Z
PUCPR-1782234486787-S4230J,PUCPR,1,Choice experiment / Best-Worst Scaling ranking,PUCPR-1782234486787-S4230J-session-1,3,option-3,cut-3,green-1,Picanha bovina,Tradicional,/images/cuts/13.png,/images/seals/pucpr/cb.png,red,2026-06-23T17:08:10.590Z,2026-06-23T17:08:11.009Z,2026-06-23T17:08:11.655Z,419,0.419,646,0.646,No,option-3,option-3,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-06-23T17:08:19.237Z
PUCPR-1782234486787-S4230J,PUCPR,1,Choice experiment / Best-Worst Scaling ranking,PUCPR-1782234486787-S4230J-session-1,4,option-1,cut-1,red-1,Picanha bovina,Angus,/images/cuts/13.png,/images/seals/pucpr/a.png,red,2026-06-23T17:08:11.655Z,2026-06-23T17:08:12.074Z,2026-06-23T17:08:12.622Z,419,0.419,548,0.548,No,option-1,option-1,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-06-23T17:08:19.237Z
PUCPR-1782234486787-S4230J,PUCPR,1,Choice experiment / Best-Worst Scaling ranking,PUCPR-1782234486787-S4230J-session-1,5,option-4,cut-4,green-2,Picanha bovina,Cultivada,/images/cuts/13.png,/images/seals/pucpr/cc.png,red,2026-06-23T17:08:12.622Z,2026-06-23T17:08:13.110Z,2026-06-23T17:08:13.687Z,488,0.488,577,0.577,No,option-4,option-4,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-06-23T17:08:19.237Z
PUCPR-1784294263452-I08REI,PUCPR,1,Choice experiment / Best-Worst Scaling ranking,PUCPR-1784294263452-I08REI-session-1,1,option-3,cut-3,green-1,Picanha bovina,Comum,/images/cuts/13.png,/images/seals/pucpr/cb.png,red,2026-07-17T15:52:25.747Z,2026-07-17T15:52:26.983Z,2026-07-17T15:52:27.368Z,1236,1.236,385,0.385,No,option-3,option-3,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-07-17T16:00:47.794Z
PUCPR-1784294263452-I08REI,PUCPR,1,Choice experiment / Best-Worst Scaling ranking,PUCPR-1784294263452-I08REI-session-1,2,option-4,cut-4,green-2,Picanha bovina,Cultivada,/images/cuts/13.png,/images/seals/pucpr/cc.png,red,2026-07-17T15:52:21.075Z,2026-07-17T15:52:23.293Z,2026-07-17T15:52:23.790Z,2218,2.218,497,0.497,No,option-4,option-4,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-07-17T16:00:47.794Z
PUCPR-1784294263452-I08REI,PUCPR,1,Choice experiment / Best-Worst Scaling ranking,PUCPR-1784294263452-I08REI-session-1,3,option-2,cut-2,red-2,Picanha bovina,Bem-estar animal,/images/cuts/13.png,/images/seals/pucpr/bea.png,red,2026-07-17T15:52:24.803Z,2026-07-17T15:52:25.259Z,2026-07-17T15:52:25.747Z,456,0.456,488,0.488,No,option-2,option-2,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-07-17T16:00:47.794Z
PUCPR-1784294263452-I08REI,PUCPR,1,Choice experiment / Best-Worst Scaling ranking,PUCPR-1784294263452-I08REI-session-1,4,option-5,cut-5,green-3,Picanha bovina,Orgânica,/images/cuts/13.png,/images/seals/pucpr/o.png,red,2026-07-17T15:52:16.940Z,2026-07-17T15:52:20.549Z,2026-07-17T15:52:21.074Z,3609,3.609,525,0.525,No,option-5,option-5,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-07-17T16:00:47.794Z
PUCPR-1784294263452-I08REI,PUCPR,1,Choice experiment / Best-Worst Scaling ranking,PUCPR-1784294263452-I08REI-session-1,5,option-1,cut-1,red-1,Picanha bovina,Angus,/images/cuts/13.png,/images/seals/pucpr/a.png,red,2026-07-17T15:52:23.790Z,2026-07-17T15:52:24.269Z,2026-07-17T15:52:24.803Z,479,0.479,534,0.534,No,option-1,option-1,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-07-17T16:00:47.794Z
