participant_id,location,session_number,method,randomization_seed,gender,age_group,education_level,income_group,rank_1_option_id,rank_1_cut_id,rank_1_seal_id,rank_1_title,rank_2_option_id,rank_2_cut_id,rank_2_seal_id,rank_2_title,rank_3_option_id,rank_3_cut_id,rank_3_seal_id,rank_3_title,rank_4_option_id,rank_4_cut_id,rank_4_seal_id,rank_4_title,rank_5_option_id,rank_5_cut_id,rank_5_seal_id,rank_5_title,timestamp,rank_1_screen_started_at,rank_1_option_selected_at,rank_1_purchase_confirmed_at,rank_1_time_spent_before_choice_ms,rank_1_time_spent_before_choice_seconds,rank_1_time_taken_to_confirm_ms,rank_1_time_taken_to_confirm_seconds,rank_1_changed_preference_before_confirming,rank_1_initial_selected_option_id,rank_1_final_confirmed_option_id,rank_2_screen_started_at,rank_2_option_selected_at,rank_2_purchase_confirmed_at,rank_2_time_spent_before_choice_ms,rank_2_time_spent_before_choice_seconds,rank_2_time_taken_to_confirm_ms,rank_2_time_taken_to_confirm_seconds,rank_2_changed_preference_before_confirming,rank_2_initial_selected_option_id,rank_2_final_confirmed_option_id,rank_3_screen_started_at,rank_3_option_selected_at,rank_3_purchase_confirmed_at,rank_3_time_spent_before_choice_ms,rank_3_time_spent_before_choice_seconds,rank_3_time_taken_to_confirm_ms,rank_3_time_taken_to_confirm_seconds,rank_3_changed_preference_before_confirming,rank_3_initial_selected_option_id,rank_3_final_confirmed_option_id,rank_4_screen_started_at,rank_4_option_selected_at,rank_4_purchase_confirmed_at,rank_4_time_spent_before_choice_ms,rank_4_time_spent_before_choice_seconds,rank_4_time_taken_to_confirm_ms,rank_4_time_taken_to_confirm_seconds,rank_4_changed_preference_before_confirming,rank_4_initial_selected_option_id,rank_4_final_confirmed_option_id,rank_5_screen_started_at,rank_5_option_selected_at,rank_5_purchase_confirmed_at,rank_5_time_spent_before_choice_ms,rank_5_time_spent_before_choice_seconds,rank_5_time_taken_to_confirm_ms,rank_5_time_taken_to_confirm_seconds,rank_5_changed_preference_before_confirming,rank_5_initial_selected_option_id,rank_5_final_confirmed_option_id
PUCPR-1782234486787-S4230J,PUCPR,1,Choice experiment / Best-Worst Scaling ranking,PUCPR-1782234486787-S4230J-session-1,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,option-2,cut-2,red-2,Picanha bovina,option-5,cut-5,green-3,Picanha bovina,option-3,cut-3,green-1,Picanha bovina,option-1,cut-1,red-1,Picanha bovina,option-4,cut-4,green-2,Picanha bovina,2026-06-23T17:08:19.237Z,2026-06-23T17:08:07.326Z,2026-06-23T17:08:08.693Z,2026-06-23T17:08:09.389Z,1367,1.367,696,0.696,No,option-2,option-2,2026-06-23T17:08:09.389Z,2026-06-23T17:08:10.034Z,2026-06-23T17:08:10.589Z,645,0.645,555,0.555,No,option-5,option-5,2026-06-23T17:08:10.590Z,2026-06-23T17:08:11.009Z,2026-06-23T17:08:11.655Z,419,0.419,646,0.646,No,option-3,option-3,2026-06-23T17:08:11.655Z,2026-06-23T17:08:12.074Z,2026-06-23T17:08:12.622Z,419,0.419,548,0.548,No,option-1,option-1,2026-06-23T17:08:12.622Z,2026-06-23T17:08:13.110Z,2026-06-23T17:08:13.687Z,488,0.488,577,0.577,No,option-4,option-4
PUCPR-1784294263452-I08REI,PUCPR,1,Choice experiment / Best-Worst Scaling ranking,PUCPR-1784294263452-I08REI-session-1,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,option-3,cut-3,green-1,Picanha bovina,option-4,cut-4,green-2,Picanha bovina,option-2,cut-2,red-2,Picanha bovina,option-5,cut-5,green-3,Picanha bovina,option-1,cut-1,red-1,Picanha bovina,2026-07-17T16:00:47.794Z,2026-07-17T15:52:25.747Z,2026-07-17T15:52:26.983Z,2026-07-17T15:52:27.368Z,1236,1.236,385,0.385,No,option-3,option-3,2026-07-17T15:52:21.075Z,2026-07-17T15:52:23.293Z,2026-07-17T15:52:23.790Z,2218,2.218,497,0.497,No,option-4,option-4,2026-07-17T15:52:24.803Z,2026-07-17T15:52:25.259Z,2026-07-17T15:52:25.747Z,456,0.456,488,0.488,No,option-2,option-2,2026-07-17T15:52:16.940Z,2026-07-17T15:52:20.549Z,2026-07-17T15:52:21.074Z,3609,3.609,525,0.525,No,option-5,option-5,2026-07-17T15:52:23.790Z,2026-07-17T15:52:24.269Z,2026-07-17T15:52:24.803Z,479,0.479,534,0.534,No,option-1,option-1
UFBA-1784294105225-LLTE3I,UFBA,1,Choice experiment / Best-Worst Scaling ranking,UFBA-1784294105225-LLTE3I-session-1,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,option-3,cut-3,green-1,Picanha bovina,option-4,cut-4,green-2,Picanha bovina,option-2,cut-2,red-2,Picanha bovina,option-5,cut-5,green-3,Picanha bovina,option-1,cut-1,red-1,Picanha bovina,2026-07-17T16:00:57.222Z,2026-07-17T15:43:47.072Z,2026-07-17T15:43:49.457Z,2026-07-17T15:44:30.982Z,2385,2.385,41525,41.525,No,option-3,option-3,2026-07-17T15:44:30.982Z,2026-07-17T15:44:31.815Z,2026-07-17T15:44:32.514Z,833,0.833,699,0.699,No,option-4,option-4,2026-07-17T15:44:32.514Z,2026-07-17T15:44:33.232Z,2026-07-17T15:44:34.215Z,718,0.718,983,0.983,No,option-2,option-2,2026-07-17T15:44:34.215Z,2026-07-17T15:44:34.769Z,2026-07-17T15:44:35.564Z,554,0.554,795,0.795,No,option-5,option-5,2026-07-17T15:44:35.564Z,2026-07-17T15:44:36.480Z,2026-07-17T15:44:41.122Z,916,0.916,4642,4.642,No,option-1,option-1
PUCPR-1784304827163-TKIT9F,PUCPR,1,Choice experiment / Best-Worst Scaling ranking,PUCPR-1784304827163-TKIT9F-session-1,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,option-3,cut-3,green-1,Picanha bovina,option-4,cut-4,green-2,Picanha bovina,option-5,cut-5,green-3,Picanha bovina,option-1,cut-1,red-1,Picanha bovina,option-2,cut-2,red-2,Picanha bovina,2026-07-17T16:14:29.125Z,2026-07-17T16:13:47.666Z,2026-07-17T16:13:59.448Z,2026-07-17T16:14:00.168Z,11782,11.782,720,0.72,No,option-3,option-3,2026-07-17T16:14:00.168Z,2026-07-17T16:14:00.783Z,2026-07-17T16:14:01.270Z,615,0.615,487,0.487,No,option-4,option-4,2026-07-17T16:14:01.270Z,2026-07-17T16:14:01.601Z,2026-07-17T16:14:02.006Z,331,0.331,405,0.405,No,option-5,option-5,2026-07-17T16:14:02.006Z,2026-07-17T16:14:02.371Z,2026-07-17T16:14:02.817Z,365,0.365,446,0.446,No,option-1,option-1,2026-07-17T16:14:02.817Z,2026-07-17T16:14:03.175Z,2026-07-17T16:14:03.678Z,358,0.358,503,0.503,No,option-2,option-2
UFBA-1784294105225-LLTE3I,UFBA,1,Choice experiment / Best-Worst Scaling ranking,UFBA-1784294105225-LLTE3I-session-1,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,option-3,cut-3,green-1,Picanha bovina,option-4,cut-4,green-2,Picanha bovina,option-2,cut-2,red-2,Picanha bovina,option-5,cut-5,green-3,Picanha bovina,option-1,cut-1,red-1,Picanha bovina,2026-07-17T16:16:09.265Z,2026-07-17T16:15:28.524Z,2026-07-17T16:15:40.855Z,2026-07-17T16:15:41.456Z,12331,12.331,601,0.601,No,option-3,option-3,2026-07-17T16:15:41.456Z,2026-07-17T16:15:41.995Z,2026-07-17T16:15:42.573Z,539,0.539,578,0.578,No,option-4,option-4,2026-07-17T16:15:42.573Z,2026-07-17T16:15:43.082Z,2026-07-17T16:15:43.615Z,509,0.509,533,0.533,No,option-2,option-2,2026-07-17T16:15:43.615Z,2026-07-17T16:15:44.035Z,2026-07-17T16:15:45.295Z,420,0.42,1260,1.26,No,option-5,option-5,2026-07-17T16:15:45.295Z,2026-07-17T16:15:45.857Z,2026-07-17T16:15:46.623Z,562,0.562,766,0.766,No,option-1,option-1
UFBA-1784294105225-LLTE3I,UFBA,1,Choice experiment / Best-Worst Scaling ranking,UFBA-1784294105225-LLTE3I-session-1,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,option-3,cut-3,green-1,Picanha bovina,option-4,cut-4,green-2,Picanha bovina,option-2,cut-2,red-2,Picanha bovina,option-5,cut-5,green-3,Picanha bovina,option-1,cut-1,red-1,Picanha bovina,2026-07-17T16:22:30.152Z,2026-07-17T16:22:23.403Z,2026-07-17T16:22:24.296Z,2026-07-17T16:22:24.898Z,893,0.893,602,0.602,No,option-3,option-3,2026-07-17T16:22:24.898Z,2026-07-17T16:22:25.323Z,2026-07-17T16:22:25.750Z,425,0.425,427,0.427,No,option-4,option-4,2026-07-17T16:22:25.750Z,2026-07-17T16:22:26.214Z,2026-07-17T16:22:26.628Z,464,0.464,414,0.414,No,option-2,option-2,2026-07-17T16:22:26.628Z,2026-07-17T16:22:26.883Z,2026-07-17T16:22:27.422Z,255,0.255,539,0.539,No,option-5,option-5,2026-07-17T16:22:27.422Z,2026-07-17T16:22:27.804Z,2026-07-17T16:22:28.112Z,382,0.382,308,0.308,No,option-1,option-1
UFBA-1784294105225-LLTE3I,UFBA,1,Choice experiment / Best-Worst Scaling ranking,UFBA-1784294105225-LLTE3I-session-1,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,option-3,cut-3,green-1,Picanha bovina,option-4,cut-4,green-2,Picanha bovina,option-2,cut-2,red-2,Picanha bovina,option-5,cut-5,green-3,Picanha bovina,option-1,cut-1,red-1,Picanha bovina,2026-07-17T16:24:50.672Z,2026-07-17T16:24:38.582Z,2026-07-17T16:24:41.747Z,2026-07-17T16:24:42.296Z,3165,3.165,549,0.549,No,option-3,option-3,2026-07-17T16:24:42.296Z,2026-07-17T16:24:42.729Z,2026-07-17T16:24:43.271Z,433,0.433,542,0.542,No,option-4,option-4,2026-07-17T16:24:43.271Z,2026-07-17T16:24:43.861Z,2026-07-17T16:24:44.456Z,590,0.59,595,0.595,No,option-2,option-2,2026-07-17T16:24:44.456Z,2026-07-17T16:24:45.556Z,2026-07-17T16:24:46.248Z,1100,1.1,692,0.692,No,option-5,option-5,2026-07-17T16:24:46.248Z,2026-07-17T16:24:47.109Z,2026-07-17T16:24:47.978Z,861,0.861,869,0.869,No,option-1,option-1
PUCPR-1784304827163-TKIT9F,PUCPR,1,Choice experiment / Best-Worst Scaling ranking,PUCPR-1784304827163-TKIT9F-session-1,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,option-3,cut-3,green-1,Picanha bovina,option-4,cut-4,green-2,Picanha bovina,option-5,cut-5,green-3,Picanha bovina,option-1,cut-1,red-1,Picanha bovina,option-2,cut-2,red-2,Picanha bovina,2026-07-17T16:25:28.121Z,2026-07-17T16:24:40.812Z,2026-07-17T16:25:19.787Z,2026-07-17T16:25:21.236Z,38975,38.975,1449,1.449,No,option-3,option-3,2026-07-17T16:25:21.237Z,2026-07-17T16:25:21.633Z,2026-07-17T16:25:22.075Z,396,0.396,442,0.442,No,option-4,option-4,2026-07-17T16:25:22.075Z,2026-07-17T16:25:22.434Z,2026-07-17T16:25:22.811Z,359,0.359,377,0.377,No,option-5,option-5,2026-07-17T16:25:22.811Z,2026-07-17T16:25:23.214Z,2026-07-17T16:25:23.551Z,403,0.403,337,0.337,No,option-1,option-1,2026-07-17T16:25:23.552Z,2026-07-17T16:25:23.927Z,2026-07-17T16:25:24.287Z,375,0.375,360,0.36,No,option-2,option-2
PUCPR-1784312297035-J16KWG,PUCPR,1,Choice experiment / Best-Worst Scaling ranking,PUCPR-1784312297035-J16KWG-session-1,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,option-1,cut-1,red-1,Picanha bovina,option-3,cut-3,green-1,Picanha bovina,option-4,cut-4,green-2,Picanha bovina,option-2,cut-2,red-2,Picanha bovina,option-5,cut-5,green-3,Picanha bovina,2026-07-17T18:18:30.092Z,2026-07-17T18:18:17.362Z,2026-07-17T18:18:24.423Z,2026-07-17T18:18:24.985Z,7061,7.061,562,0.562,No,option-1,option-1,2026-07-17T18:18:24.985Z,2026-07-17T18:18:25.471Z,2026-07-17T18:18:25.877Z,486,0.486,406,0.406,No,option-3,option-3,2026-07-17T18:18:25.877Z,2026-07-17T18:18:26.373Z,2026-07-17T18:18:26.763Z,496,0.496,390,0.39,No,option-4,option-4,2026-07-17T18:18:26.763Z,2026-07-17T18:18:27.039Z,2026-07-17T18:18:27.474Z,276,0.276,435,0.435,No,option-2,option-2,2026-07-17T18:18:27.474Z,2026-07-17T18:18:27.759Z,2026-07-17T18:18:28.165Z,285,0.285,406,0.406,No,option-5,option-5
PUCPR-1784315164667-7XGM9A,PUCPR,1,Choice experiment / Best-Worst Scaling ranking,PUCPR-1784315164667-7XGM9A-session-1,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,option-3,cut-3,green-1,Picanha bovina,option-4,cut-4,green-2,Picanha bovina,option-5,cut-5,green-3,Picanha bovina,option-2,cut-2,red-2,Picanha bovina,option-1,cut-1,red-1,Picanha bovina,2026-07-17T19:13:39.542Z,2026-07-17T19:11:37.882Z,2026-07-17T19:11:39.146Z,2026-07-17T19:11:39.694Z,1264,1.264,548,0.548,No,option-3,option-3,2026-07-17T19:11:39.694Z,2026-07-17T19:11:40.098Z,2026-07-17T19:11:40.653Z,404,0.404,555,0.555,No,option-4,option-4,2026-07-17T19:11:40.654Z,2026-07-17T19:11:41.035Z,2026-07-17T19:11:41.493Z,381,0.381,458,0.458,No,option-5,option-5,2026-07-17T19:11:41.493Z,2026-07-17T19:11:41.785Z,2026-07-17T19:11:42.252Z,292,0.292,467,0.467,No,option-2,option-2,2026-07-17T19:11:42.252Z,2026-07-17T19:11:42.550Z,2026-07-17T19:11:42.978Z,298,0.298,428,0.428,No,option-1,option-1
