participant_id,location,session_number,method,randomization_seed,agreed_to_descriptions,selected_rank,option_id,cut_id,seal_id,title,subtitle,cut_image_url,seal_image_url,seal_color,screen_started_at,option_selected_at,purchase_confirmed_at,time_spent_before_choice_ms,time_spent_before_choice_seconds,time_taken_to_confirm_ms,time_taken_to_confirm_seconds,changed_preference_before_confirming,initial_selected_option_id,final_confirmed_option_id,gender,age_group,education_level,income_group,timestamp
PUCPR-1782234486787-S4230J,PUCPR,2,Seal descriptions + Choice experiment / Best-Worst Scaling ranking,PUCPR-1782234486787-S4230J-session-2,Yes,1,session-2-option-4,cut-4,green-2,Picanha bovina,Cultivada,/images/cuts/13.png,/images/seals/pucpr/cc.png,red,2026-06-23T17:08:36.346Z,2026-06-23T17:08:36.922Z,2026-06-23T17:08:37.373Z,576,0.576,451,0.451,No,session-2-option-4,session-2-option-4,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-06-23T17:08:48.698Z
PUCPR-1782234486787-S4230J,PUCPR,2,Seal descriptions + Choice experiment / Best-Worst Scaling ranking,PUCPR-1782234486787-S4230J-session-2,Yes,2,session-2-option-3,cut-3,green-1,Picanha bovina,Tradicional,/images/cuts/13.png,/images/seals/pucpr/cb.png,red,2026-06-23T17:08:37.373Z,2026-06-23T17:08:37.724Z,2026-06-23T17:08:38.174Z,351,0.351,450,0.45,No,session-2-option-3,session-2-option-3,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-06-23T17:08:48.698Z
PUCPR-1782234486787-S4230J,PUCPR,2,Seal descriptions + Choice experiment / Best-Worst Scaling ranking,PUCPR-1782234486787-S4230J-session-2,Yes,3,session-2-option-1,cut-1,red-1,Picanha bovina,Angus,/images/cuts/13.png,/images/seals/pucpr/a.png,red,2026-06-23T17:08:33.243Z,2026-06-23T17:08:35.812Z,2026-06-23T17:08:36.346Z,2569,2.569,534,0.534,No,session-2-option-1,session-2-option-1,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-06-23T17:08:48.698Z
PUCPR-1782234486787-S4230J,PUCPR,2,Seal descriptions + Choice experiment / Best-Worst Scaling ranking,PUCPR-1782234486787-S4230J-session-2,Yes,4,session-2-option-2,cut-2,red-2,Picanha bovina,Bem-estar animal,/images/cuts/13.png,/images/seals/pucpr/bea.png,red,2026-06-23T17:08:38.174Z,2026-06-23T17:08:38.497Z,2026-06-23T17:08:39.044Z,323,0.323,547,0.547,No,session-2-option-2,session-2-option-2,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-06-23T17:08:48.698Z
PUCPR-1782234486787-S4230J,PUCPR,2,Seal descriptions + Choice experiment / Best-Worst Scaling ranking,PUCPR-1782234486787-S4230J-session-2,Yes,5,session-2-option-5,cut-5,green-3,Picanha bovina,Orgânica,/images/cuts/13.png,/images/seals/pucpr/o.png,red,2026-06-23T17:08:39.044Z,2026-06-23T17:08:39.533Z,2026-06-23T17:08:40.065Z,489,0.489,532,0.532,No,session-2-option-5,session-2-option-5,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-06-23T17:08:48.698Z
PUCPR-1784309552585-5PQNYY,PUCPR,2,Seal descriptions + Choice experiment / Best-Worst Scaling ranking,PUCPR-1784309552585-5PQNYY-session-2,Yes,1,session-2-option-2,cut-2,red-2,Picanha bovina,Bem-estar animal,/images/cuts/13.png,/images/seals/pucpr/bea.png,red,2026-07-17T17:35:13.638Z,2026-07-17T17:37:26.677Z,2026-07-17T17:37:27.525Z,133039,133.039,848,0.848,No,session-2-option-2,session-2-option-2,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-07-17T17:38:02.648Z
PUCPR-1784309552585-5PQNYY,PUCPR,2,Seal descriptions + Choice experiment / Best-Worst Scaling ranking,PUCPR-1784309552585-5PQNYY-session-2,Yes,2,session-2-option-1,cut-1,red-1,Picanha bovina,Angus,/images/cuts/13.png,/images/seals/pucpr/a.png,red,2026-07-17T17:37:27.526Z,2026-07-17T17:37:27.914Z,2026-07-17T17:37:28.453Z,388,0.388,539,0.539,No,session-2-option-1,session-2-option-1,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-07-17T17:38:02.648Z
PUCPR-1784309552585-5PQNYY,PUCPR,2,Seal descriptions + Choice experiment / Best-Worst Scaling ranking,PUCPR-1784309552585-5PQNYY-session-2,Yes,3,session-2-option-5,cut-5,green-3,Picanha bovina,Orgânica,/images/cuts/13.png,/images/seals/pucpr/o.png,red,2026-07-17T17:37:28.453Z,2026-07-17T17:37:30.886Z,2026-07-17T17:37:31.372Z,2433,2.433,486,0.486,No,session-2-option-5,session-2-option-5,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-07-17T17:38:02.648Z
PUCPR-1784309552585-5PQNYY,PUCPR,2,Seal descriptions + Choice experiment / Best-Worst Scaling ranking,PUCPR-1784309552585-5PQNYY-session-2,Yes,4,session-2-option-3,cut-3,green-1,Picanha bovina,Comum,/images/cuts/13.png,/images/seals/pucpr/cb.png,red,2026-07-17T17:37:31.372Z,2026-07-17T17:37:31.792Z,2026-07-17T17:37:32.258Z,420,0.42,466,0.466,No,session-2-option-3,session-2-option-3,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-07-17T17:38:02.648Z
PUCPR-1784309552585-5PQNYY,PUCPR,2,Seal descriptions + Choice experiment / Best-Worst Scaling ranking,PUCPR-1784309552585-5PQNYY-session-2,Yes,5,session-2-option-4,cut-4,green-2,Picanha bovina,Cultivada,/images/cuts/13.png,/images/seals/pucpr/cc.png,red,2026-07-17T17:37:32.258Z,2026-07-17T17:37:32.639Z,2026-07-17T17:37:33.142Z,381,0.381,503,0.503,No,session-2-option-4,session-2-option-4,Collected in Session 3,Collected in Session 3,Collected in Session 3,Collected in Session 3,2026-07-17T17:38:02.648Z
